item,demand_count
station_0_0,1
station_0_1,1
station_0_2,1
station_0_3,1
station_0_4,1
station_0_5,1
station_0_6,1
station_0_7,1
station_0_8,1
station_0_9,1
station_0_10,1
station_0_11,1
station_0_12,1
station_0_13,1
station_0_14,1
station_0_15,1
station_0_16,1
station_0_17,1
station_0_18,1
station_0_19,1
station_0_20,1
station_0_21,1
station_0_22,1
station_0_23,1
station_1_0,1
station_1_1,1
station_1_2,1
station_1_3,1
station_1_4,1
station_1_5,1
station_1_6,1
station_1_7,1
station_1_8,1
station_1_9,1
station_1_10,1
station_1_11,1
station_1_12,1
station_1_13,1
station_1_14,1
station_1_15,1
station_1_16,1
station_1_17,1
station_1_18,1
station_1_19,1
station_1_20,1
station_1_21,1
station_1_22,1
station_1_23,1
station_2_0,1
station_2_1,1
station_2_2,1
station_2_3,1
station_2_4,1
station_2_5,1
station_2_6,1
station_2_7,1
station_2_8,1
station_2_9,1
station_2_10,1
station_2_11,1
station_2_12,1
station_2_13,1
station_2_14,1
station_2_15,1
station_2_16,1
station_2_17,1
station_2_18,1
station_2_19,1
station_2_20,1
station_2_21,1
station_2_22,1
station_2_23,1
station_3_0,1
station_3_1,1
station_3_2,1
station_3_3,1
station_3_4,1
station_3_5,1
station_3_6,1
station_3_7,1
station_3_8,1
station_3_9,1
station_3_10,1
station_3_11,1
station_3_12,1
station_3_13,1
station_3_14,1
station_3_15,1
station_3_16,1
station_3_17,1
station_3_18,1
station_3_19,1
station_3_20,1
station_3_21,1
station_3_22,1
station_3_23,1
station_4_0,1
station_4_1,1
station_4_2,1
station_4_3,1
station_4_4,1
station_4_5,1
station_4_6,1
station_4_7,1
station_4_8,1
station_4_9,1
station_4_10,1
station_4_11,1
station_4_12,1
station_4_13,1
station_4_14,1
station_4_15,1
station_4_16,1
station_4_17,1
station_4_18,1
station_4_19,1
station_4_20,1
station_4_21,1
station_4_22,1
station_4_23,1
station_5_0,1
station_5_1,1
station_5_2,1
station_5_3,1
station_5_4,1
station_5_5,1
station_5_6,1
station_5_7,1
station_5_8,1
station_5_9,1
station_5_10,1
station_5_11,1
station_5_12,1
station_5_13,1
station_5_14,1
station_5_15,1
station_5_16,1
station_5_17,1
station_5_18,1
station_5_19,1
station_5_20,1
station_5_21,1
station_5_22,1
station_5_23,1
