bidder,items,count
0,station_2_6,1
1,station_1_11,1
2,station_0_22,1
3,station_1_3,1
4,station_5_7,1
5,station_5_13,1
6,station_4_17,1
7,station_0_16,1
8,station_4_0,1
9,station_3_12,1
10,station_1_22,1
11,station_1_5,1
12,station_2_1,1
13,station_2_15,1
14,station_0_21,1
15,station_4_1,1
16,station_5_1,1
17,station_1_15,1
18,station_3_23,1
19,station_4_1,1
20,station_3_4,1
21,station_4_8,1
22,station_1_20,1
23,station_0_9,1
24,station_2_3,1
25,station_3_12,1
26,station_0_19,1
27,station_1_3,1
28,station_4_5,1
29,station_3_10,1
30,station_5_17,1
31,station_0_19,1
32,station_5_5,1
33,station_2_10,1
34,station_3_18,1
35,station_3_17,1
36,station_5_1,1
37,station_5_10,1
38,station_4_19,1
39,station_1_21,1
40,station_5_6,1
41,station_2_9,1
42,station_5_18,1
43,station_1_11,1
44,station_5_7,1
45,station_1_8,1
46,station_4_20,1
47,station_5_20,1
48,station_2_7,1
49,station_4_11,1
