item,bidder_cca,bidder_mlcca
station_0_1,Bidder_15,Bidder_15
station_0_17,Bidder_6,Bidder_6
station_0_19,Bidder_26,
station_0_20,Bidder_47,Bidder_47
station_0_23,,Bidder_18
station_0_3,Bidder_28,Bidder_28
station_0_5,Bidder_11,
station_0_6,Bidder_20,Bidder_20
station_0_7,Bidder_44,Bidder_44
station_1_1,,Bidder_12
station_1_10,Bidder_29,
station_1_11,,Bidder_1
station_1_12,Bidder_9,Bidder_9
station_1_18,Bidder_23,Bidder_23
station_1_19,Bidder_2,Bidder_2
station_1_20,Bidder_22,
station_1_21,,Bidder_39
station_1_9,Bidder_13,Bidder_13
station_2_1,,Bidder_19
station_2_10,,Bidder_29
station_2_11,Bidder_43,Bidder_43
station_2_17,Bidder_10,Bidder_10
station_2_19,Bidder_38,Bidder_38
station_2_21,Bidder_14,Bidder_14
station_3_1,Bidder_12,
station_3_11,Bidder_49,Bidder_49
station_3_13,Bidder_5,Bidder_5
station_3_14,Bidder_41,Bidder_41
station_3_17,,Bidder_35
station_3_18,,Bidder_34
station_3_2,Bidder_48,Bidder_48
station_3_3,Bidder_27,Bidder_27
station_3_6,Bidder_0,Bidder_0
station_3_9,Bidder_33,Bidder_33
station_4_0,Bidder_8,Bidder_8
station_4_10,,Bidder_11
station_4_19,,Bidder_26
station_4_20,,Bidder_46
station_4_3,Bidder_24,Bidder_24
station_4_7,Bidder_4,Bidder_4
station_4_8,,Bidder_45
station_4_9,Bidder_7,Bidder_7
station_5_1,Bidder_36,Bidder_36
station_5_10,,Bidder_37
station_5_12,Bidder_25,Bidder_25
station_5_15,Bidder_17,Bidder_17
station_5_17,Bidder_30,Bidder_30
station_5_18,Bidder_42,Bidder_42
station_5_19,Bidder_31,Bidder_31
station_5_2,Bidder_3,Bidder_3
station_5_20,,Bidder_22
station_5_5,Bidder_32,Bidder_32
station_5_6,,Bidder_40
station_5_8,Bidder_21,Bidder_21
